# Latin letters pronunciation in Russian
# Format: pattern,replacement_plain,replacement_ssml,comment
# This file handles Latin letters/abbreviations that appear in Russian text
#
# Single Latin letters (uppercase)
\bVAT\b,ви эй ти,в+и +эй т+и,VAT - Value Added Tax
\bGDP\b,джи ди пи,дж+и д+и п+и,GDP - Gross Domestic Product
\bGNP\b,джи эн пи,дж+и +эн п+и,GNP - Gross National Product
\bIPO\b,ай пи оу,+ай п+и +оу,IPO - Initial Public Offering
\bLLC\b,эл эл си,+эл +эл с+и,LLC - Limited Liability Company
\bLTD\b,лимитед,л+имитед,LTD - Limited
\bINC\b,инкорпорейтед,инкорпор+ейтед,INC - Incorporated
#
# Education
\bPhD\b,пи эйч ди,п+и +эйч д+и,PhD - Doctor of Philosophy
\bMBA\b,эм би эй,+эм б+и +эй,MBA - Master of Business Administration
\bBA\b,би эй,б+и +эй,BA - Bachelor of Arts
\bBS\b,би эс,б+и +эс,BS - Bachelor of Science
\bMA\b,эм эй,+эм +эй,MA - Master of Arts
\bMS\b,эм эс,+эм +эс,MS - Master of Science
#
# Miscellaneous
\bOK\b,окей,ок+ей,OK - Okay
\bVIP\b,ви ай пи,в+и +ай п+и,VIP - Very Important Person
\bFAQ\b,эф эй кью,+эф +эй кь+ю,FAQ - Frequently Asked Questions
\bASAP\b,эй эс эй пи,+эй +эс +эй п+и,ASAP - As Soon As Possible
\bETA\b,и ти эй,+и т+и +эй,ETA - Estimated Time of Arrival
\bPS\b,пи эс,п+и +эс,PS - Postscript
\bPM\b,пи эм,п+и +эм,PM - Post Meridiem (afternoon)
\bAM\b,эй эм,+эй +эм,AM - Ante Meridiem (morning)
\bBC\b,би си,б+и с+и,BC - Before Christ
\bAD\b,эй ди,+эй д+и,AD - Anno Domini
\bEU\b,и ю,+и +ю,EU - European Union
\bUK\b,ю кей,+ю к+ей,UK - United Kingdom
\bUSA\b,ю эс эй,+ю +эс +эй,USA - United States of America
\bUAE\b,ю эй и,+ю +эй +и,UAE - United Arab Emirates
